标题	标题链接	iteminfo__line2__jobdesc__salary	iteminfo__line2__jobdesc__demand	iteminfo__line2__jobdesc__demand1	iteminfo__line2__jobdesc__demand2	iteminfo__line1__compname__name	iteminfo__line2__compdesc	iteminfo__line2__compdesc1	详情标题	职位描述	工作地点
（西安）大数据架构师	http://jobs.zhaopin.com/CC856182520J40117539706.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安	3-5年	硕士	中电太极	国企	1000-9999人	（西安）大数据架构师	职位描述大数据架构 岗位职责: 1. 负责项目组数据管理制度、规范、流程的设计，参与数据开发平台的建设和管理 2. 负责大数据平台的世纪规划建设，包括环境和框架的规划搭建以及部分核心编码工作 3. 规划数据仓库工作方向，持续提升团队工作目标和工作效率 4. 负责全面了解公司业务，进行深层次的数据分析，为数据开发项目提供指导性的意见，从数据角度为公司产品开发、业务运营提供决策支持建议 5. 掌握业界技术动向，组织研究大数据相关前沿技术，用于指导实际的数据支持项目 任职要求: 1. 精通数据仓库实施理论，生命周期管理，具备大型互联网数据仓库架构设计、模型设计、ETL设计经验，以及海量数据处理和优化经验 2. 深入理解Hadoop/Hive/Spark/Storm/Kylin等大数据相关技术和原理 3. 有实际使用Hive/MR/Spark等大数据处理技术解决大数据相关问题的项目经验，具备丰富的性能调优经验 4. 熟悉OLAP工具和数据分析技能，对数据敏感，能够进行数据分析，挖掘数据价值 5. 逻辑思维能力强，有较强的学习能力和创新思维 6. 优秀的沟通能力和文字表达能力，有较强的团队管理能力	高新区天谷八路软件新城
大数据开发工程师（西安）	http://jobs.zhaopin.com/CC358862320J40115645614.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安-高新技术产业开发区	3-5年	本科	海尔智家股份有限公司	股份制企业	10000人以上	大数据开发工程师（西安）	职位描述PostgreSQLMySQLHiveSpark岗位职责： 1、负责大数据应用项目设计与开发； 2、参与大数据平台相关管理工具开发； 3、参与大数据平台服务接口开发。   岗位要求： 1、熟悉Linux操作系统和shell编程，熟练掌握Java或Scala编程语言，熟练使用SQL查询语言，对Python编程语言有一定使用经验； 2、掌握面向对象设计思维，熟悉常用的设计模式； 3、具有3年大数据的开发经验，熟悉Hadoop、Hive、Spark和Kafka等常用大数据组件； 4、熟悉至少一种关系数据库，有Mysql/PostgreSQL的使用经验； 5、工作积极严谨，有较强的学习能力以及快速解决问题的能力； 6、具备强烈的进取心、求知欲以及团队合作精神； 7、有Spark项目开发经验优先考虑。	锦业一路29号龙旗科技园A座
大数据开发工程师	http://jobs.zhaopin.com/CC218480480J40076964616.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安-雁塔区	1-3年	本科	敦煌智慧旅游有限责任公司	国企	20-99人	大数据开发工程师	职位描述大数据开发Java岗位职责：  1.负责大数据平台的开发和维护；  2.负责数据采集、清洗、建模、统计分析的开发；  3.和产品、运营一起协作，根据业务场景进行数据建模相关的开发；  4.负责技术攻坚及疑难问题解决；  5.技术文档编写。任职要求：  1.计算机相关专业本科以上学历；  2.具有3年以上工作经验；  3.扎实的数据结构和算法基础，至少熟悉Java、scala中一种编程语言；  4.掌握数据库基本原理，熟悉SQL语法规则和特点；  5.熟悉Hadoop生态相关概念，有Hadoop、Spark、flink、Hive、kafka、ELK等开发经验；  6.熟悉springBoot开发框架；  7.具备良好的沟通、学习和协调能力。	唐延南路10号主楼B201
8—12k大数据分析师	http://jobs.zhaopin.com/CC364027630J40080557011.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	8千-1万	西安-高新技术产业开发区	1年以下	大专	北京华云数通科技有限公司	民营	20-99人	8—12k大数据分析师	职位描述数据分析SQLBI数据建模大数据分析工作内容：   从数据仓库中提取数据并反馈给业务部门；  抽为公司凝练系统化的业务分析与决策支持系统；  配合其他分析师一起构建并完善公司各业务数据分析体系，帮助公司进行监控并参与重大战略决策分析；  分负责业务核心指标的监控和跟踪分析，并对异常波动情况进行分析和问题定位。    任职资格：       大专以上学历，男女不限；   有计算机语言基础优先；   出色的沟通能力和学习能力；   拥有优秀的分析问题能力和解决问题能力；   具备勇于创新，乐于接受挑战，承受压力的良好素质；   福利待遇：   签订正式合同，六险一金等；  能自觉遵守岗位操作规范与制度；  工作时间：朝九晚六，周末双休	高薪技术产业园
大数据开发工程师	http://jobs.zhaopin.com/CC308441412J00438144906.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	7千-1.2万	西安-雁塔区	3-5年	本科	陕西万德信息科技股份有限公司	民营	500-999人	大数据开发工程师	职位描述HadoopHiveStormHbaseHDFSYARN岗位职责：1. 负责大数据平台技术架构设计、系统设计、核心代码开发；2. 维护和升级现有系统的技术架构发展规划，满足新业务实现要求；3. 关键技术难题攻克，快速定位问题并主导相关架构问题的解决；4.根据业务架构设计方案，技术选型方案，大数据平台上线。任职要求：1、计算机相关专业，本科及以上学历；2、精通Hadoop设计，Hadoop集群的搭建、部署、开发和维护；3、熟悉分布式算法设计，熟悉数据挖掘和机器学习等技术，对海量数据高并发的分析处理、挖掘和分布式存储有丰富经验；4、精通Hadoop各个模块功能及配置，对HDFS、HBASE、MR和Spark有深入了解；5、精通大数据分析，各种BI算法和产品等；6、熟悉Hadoop、Yarn、Hive、Storm、HBase、Flume、kafka、spark、Zookeeper、flink等大数据相关经验者优先。7、具有很强的分析问题和解决问题的能力，攻关疑难问题的强烈兴趣，善于学习；8、强烈的责任心和良好的团队合作精神，较好的沟通能力。9、技术或相关经验丰富者可适当放宽学历及专业；	电信广场
大数据平台开发工程师	http://jobs.zhaopin.com/CC000413680J40022290713.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安-雁塔区	1-3年	本科	中移雄安信息通信科技有限公司	国企	1000-9999人	大数据平台开发工程师	职位描述HadoopHiveSpark数据处理数据挖掘Java 岗位职责：   1.参与大数据平台架构规划与设计；负责数据处理框架、流程与规范接口设计；    2.承担大数据软件平台正常运行、系统问题定位与优化相关任务；    3.负责面向业务场景的数据模型、数据挖掘和处理算法的设计与开发。 岗位资格要求：   【基本条件】    1.遵守国家法律法规，具有良好的思想品质和道德素质；    2.认同公司核心价值观；    3.本人档案中无不良记录。    【教育与专业】    全日制统考类大学本科及以上学历，计算机、通信、电子、软件工程等相关专业    【能力】    1.具备系统分析与设计能力，有良好、规范的编程习惯和文档编写习惯；    2.有责任心，工作积极主动、严谨细致，有团队合作精神和良好的沟通能力；    3.具备有很好的学习和逻辑能力，强烈的探索和求知欲；    4.具备一定的抗压能力，善于应对来自工作上的各种压力；    5.英语CET-4及以上，有良好的英语听说读写能力。    【技能】    1.2年及以上大数据或人工智能研发相关经验；    2.对大数据处理、数据建模、数据分析、数据架构等有一定的理解和认识；    3.熟悉Linux环境下开发，熟练掌握Java/C++/Go/Python等一种以上编程语言；    4.有大数据平台/仓库研发、ETL设计、OLAP开发、报表开发等一种或以上经验与技能者优先；    5.具有海量数据处理经验、熟悉处理算法或有互联网行业数据挖掘工作经验者优先；    6.熟悉区块链平台产品和技术，有相关实践经验者优先。	锦业路38号粤汉国际C座中国移动设计院
大数据工程师	http://jobs.zhaopin.com/CC200911984J00609185607.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	6千-1万	西安	1-3年	本科	美林数据技术股份有限公司	股份制企业	500-999人	大数据工程师	职位描述数据处理可视化大数据  岗位要求：  1.一年以上大数据实施、可视化或者数据处理等实施经验；  2.学习能力强，具备较好的沟通表达及团队合作经验；  3.熟练掌握常用数据库搭建及操作，可熟练使用SQL、编写存储过程；  4.熟悉hadoop、hbase；HIVE、spark； fink、kaffka的优先；  5.熟悉常用ETL工具，如kettle或informatica等优先；  6.熟悉tempo、tableau等数据可视化工具优先；  7.可熟练使用linux操作系统。	西安
大数据开发工程师	http://jobs.zhaopin.com/CC120615700J40105471207.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2万	西安	3-5年	本科	博达软件	股份制企业	300-499人	大数据开发工程师	职位描述PythonJavaStorm数据清洗大数据分析数据处理爬虫ElasticSearch岗位职责： 1. 面向云端，基于大数据平台构建微服务，完成大数据基础能力构建； 2. 主导或参与需求分析、系统架构等，能够与团队融洽协作，高质量交付，并完成运维运营事务； 3. 主导或参与系统核心模块的技术竞争力构建，跟踪分析业界发展趋势并完成竞争力分析。 岗位要求： 1.本科及以上学历，计算机相关专业，3年以上相关工作经验。2.扎实的java编程基础，熟悉Spring等开源框架，精通JAVA，Python，go等语言（或其一） 3.熟悉开源爬虫框架，如scrapy等4.有Hadoop、hbase、Storm、spark、TensorFlow等使用经验者优先，有大数据产品研发经验的优先；5.熟悉搜索引擎中的常用算法，了解ElasticSearch搜索技术等优先； 6.具有机器学习和算法经验，并且有基于tensorflow/pytorch研发深度学习算法经验者优先。	锦业路125号半导体产业园A栋13楼
大数据开发工程师	http://jobs.zhaopin.com/CC434360580J00173843703.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安	1-3年	本科	西安信璞企业管理咨询有限公司	民营	20-99人	大数据开发工程师	职位描述决策树模型设计深度学习工作职责： l 负责数据产品和数据平台的需求调研、数据分析、商业分析等工作。 l 有数学建模经验、较强的数据分析能力，对数据分析结果可视化进行研究。 l 负责根据业务要求，进行特定的统计和数据挖掘分析，完成深入的专项数据分析并形成分析报告。l 研发数据挖掘解决方案（应用数据挖掘工具或者开发新算法）、解决产品需求问题，支持数据挖掘分 析解决方案l 负责数据产品前期需求调研，输出技术解决方案，提供咨询服务。任职要求：l 2 年及以上相关工作经验，本科，统计学、应用数学、金融类、计算机类相关专业。 l 扎实的数据挖掘理论和数据结构算法技术基础,对聚类、分类、协同过滤、预测、时间序列、图论、 神经网络等有深入研究。l 熟练使用 java、c/c++、scala、python 中的最少一种语言。 l 熟悉 Hadoop、SPARK、STORM、HBASE 等大规模分布式数据分析框架。	高新区锦业1路领海大厦
Spark大数据工程师	http://jobs.zhaopin.com/CC414855834J00232894608.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	6千-1.2万	西安-高新技术产业开发区	3-5年	本科	摩石环球科技有限公司	外商独资	20-99人	Spark大数据工程师	职位描述岗位职责：   1、参与 Spark 的定制和改进,为公司批处理和流式计算能力提供支撑;    2、可以完整系统的进行整个项目；    3、与开源社区保持交流;    4、深入理解业务场景,与业务工程师合作,解决性能优化等问题。      任职要求:    1、深入了解 Spark,为 Spark 贡献过 patch 者优先(请注明);      2、熟悉 MapReduce、YARN 等系统者优先;      3、优秀的编码能力;对工程质量有很高的自我要求；      4、经历过完整项目周期者优先。	西安市高新区科技二路清华科技园E座23层2301
大数据实施工程师	http://jobs.zhaopin.com/CCL1260755090J40106690403.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	6千-8千	西安	1-3年	本科	厦门惠达医疗科技有限公司	民营	20-99人	大数据实施工程师	职位描述数据库开发数据采集数据处理OracleMySQL大数据开发岗位职责1、负责产品和系统的实施工作，软件系统安装部署、升级维护，推进项目顺利进行；2、负责客户需求的收集整理，以及产品使用情况的跟踪，收集、反馈用户信息；3、负责公司产品和医院数据的对接工作，包括数据清洗、数据处理、数据校验等等；4、负责项目相关文档编写和整理工作；岗位要求： 1、本科及以上学历，计算机或相关专业优先，有医疗卫生行业信息化经验者，优先考虑；2、熟悉Linux操作系统常用命令、Shell脚本，熟练使用常用SSH工具连接服务器操作；3、熟悉Oracle、SQLServer等大型数据库，能熟练撰写各种SQL查询语句以及存储过程，对ETL工具有了解；4、勤奋、敬业，具备良好的学习能力与合作精神。5、具备较强的抗压能力，能适应出差。	西京医院
大数据开发工程师	http://jobs.zhaopin.com/CC138117190J40109529705.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-3万	西安	1-3年	本科	外企德科	合资	1000-9999人	大数据开发工程师	职位描述数据库JavaPython大数据开发岗位职责：   1、负责海量监控、网络监控、日志等运维数据实时高性能入库相关中间件组件的设计、开发、性能调优以及可靠性、产品化落地    2、结合实时数仓相关开源组件，主导并参与通用大数据监管控平台的设计与开发，为SRE提供易用、透明、高效的大数据管理平台。  任职要求：   1、熟练掌握一门主流开发语言，Java、python等；    2、本科及其以上学历，数据产品实践经验优先；     3、熟悉大数据开发基本问题、工具和方法，熟悉并使用过各种大数据相关框架或组件优先，如Kafka、Hadoop/Spark、Hbase、Druid、Elasitcsearch、Flink等    4、有500万/秒数据入库开发与性能调优或有Kafka Lag调优经验以及快速追补数据方案设计以及开发经验者优先；    5、有基于开源实时数据分析引擎构建实时数据分析平台(监管控)经验者优先。    6、具备快速学习与解决问题的能力、良好的团队合作精神和沟通能力	西安华为研究所
大数据工程师	http://jobs.zhaopin.com/CC200911980J40079327315.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	6千-1万	西安-高新技术产业开发区	1-3年	本科	美林数据技术股份有限公司	股份制企业	500-999人	大数据工程师	职位描述ETLSQLOracle数据库数据库开发MySQL岗位要求：1.两年以上大数据实施、可视化或者数据处理等实施经验，本科学历；2.学习能力强，具备较好的沟通表达及团队合作经验；3.熟练掌握常用数据库搭建及操作，可熟练使用SQL、编写存储过程；4.熟悉hadoop、hbase；HIVE、spark； fink、kaffka的优先；5.熟悉常用ETL工具，如kettle或informatica等优先；6.熟悉tempo、tableau等数据可视化工具优先；7.可熟练使用linux操作系统。	西安市雁塔区天谷八路国家电子商务基地六层
大数据交付SA	http://jobs.zhaopin.com/CC000544460J40035816116.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2万	西安-雁塔区	3-5年	大专	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据交付SA	职位描述大数据运营商业务计费CRMSQLPython岗位职责:     1、负责大数据服务解决方案的规划、设计，以及相关解决方案资料的输出；       2、负责大数据特定领域需求及问题分析管理工作；       3、负责大数据服务解决方案特性的落地实现，包括需求分解及跟踪、方案验证等；       4、承担国内大数据项目支持工作，包括客户交流，需求调研及分析，项目策略及方案制定，交付支撑等；      岗位要求;     1、熟悉运营商业务，如计费、CRM、无线、网管等相关领域；       2、具备需求理解、标准理解能力，并能够顺畅的与客户进行沟通交流及引导，具备一定需求分析及管理能力；       3、有技术方案设计，并具备实际落地相关经验，具有一定的行业洞察和业务创新能力；       4、3年及以上电信行业从业经验，负责过特定模块交付工作，具备独立解决技术问题或风险管理能力；       5、熟练掌握SQL开发；熟悉python、perl等编程人员优先。	华为西安研究所
大数据开发工程师	http://jobs.zhaopin.com/CC434360580J00475590303.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2万	西安	5-10年	本科	西安信璞企业管理咨询有限公司	民营	20-99人	大数据开发工程师	职位描述数据库开发数据挖掘数据库数据仓库 1、负责公司存储的结构化数据过滤和抽取工作； 2、负责数据的清洗、转换、导入及车辆模型的实现和优化。	经开区泾渭工业园
大数据开发工程师	http://jobs.zhaopin.com/CC120109940J40073402613.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安-高新技术产业开发区	5-10年	本科	深圳易宝软件有限公司	上市公司	1000-9999人	大数据开发工程师	职位描述ETLPythonOracle数据库开发数据挖掘数据处理1、对大数据以及大数据建模了解，特别是基于云计算平台的大数据理解与认知，并且有负责场景下的大数据全链建设的项目经验2、具备很强的商业数据分析/挖掘算法/能力和实操技能，有数据驱动业务增长先关成功实战经验。在业务流程管理，财务管理方面有丰富经验值优先3、计算机、数学、统计、会计相关专业本科及以上学历，较为丰富的数据仓库及数据平台的架构经验，精通数据仓库建模及ETL设计开发	环普科技园G1栋10楼
